relation;extent;qid
in;Amsterdam?;WF-1
in;Amsterdam?;WF-2
in;Amsterdam?;WF-3
in;Amsterdam?;WF-4
in;Amsterdam?;WF-5
in;Amsterdam?;WF-6
in;Amsterdam?;WF-7
in;Amsterdam?;WF-8
in;Amsterdam?;WF-9
in;Amsterdam?;WF-10
in;Amsterdam?;WF-11
in;Amsterdam?;WF-12
in;Amsterdam?;WF-13
in;Amsterdam?;WF-14
in;Amsterdam?;WF-15
in;Amsterdam?;WF-16
in;Amsterdam?;WF-17
in;Amsterdam?;WF-18
in;Amsterdam?;WF-19
in;Amsterdam?;WF-20
