intent;qid
income;WF-1
density;WF-2
density;WF-3
distance;WF-4
distance;WF-5
percentage;WF-6
year;WF-7
percentage;WF-8
number;WF-9
percentage;WF-10
distance;WF-11
distance;WF-12
number;WF-13
density;WF-14
variety;WF-15
distribution;WF-16
Index;WF-17
effect;WF-18
label;WF-19
distance;WF-20
